2023-04-14 00:00:00.000;1754-01-01 11:45:13.277;1;K510086;092-WUERZBURG;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;VR;11249799;60;P00602;650000;2023-04-14 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.277;1;K510089;095-BAMBERG;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;VR;11249800;60;P00602;660000;2023-04-14 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.293;1;K510091;097-KARLSRUHE;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;VR;11249801;60;P00602;670000;2023-04-14 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.293;1;K550211;114-ERFURT;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;VR;11249802;60;P00602;680000;2023-04-14 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.293;1;K550275;121-NEUNKIRCHE;10x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;VR;11249803;60;P00602;690000;2023-04-14 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.293;1;K510014;016-EICHENZELL;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;ZO;11249804;60;P00602;350000;2023-04-16 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.310;1;K510046;048-NEUOETTING;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;ZO;11249805;60;P00602;360000;2023-04-16 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.310;1;K510085;091-HEIDELBERG;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;ZO;11249806;60;P00602;370000;2023-04-16 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.310;1;K550196;105-PFORZHEIM;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;ZO;11249807;60;P00602;380000;2023-04-16 00:00:00.000
2023-04-14 00:00:00.000;1754-01-01 11:45:13.310;1;K510100;110-DRESDEN II;5x1;Hydrangea macr. Weiss;22AFE96C-C53D-4C4A-97C5-00557CA95B46;ZO;11249808;60;P00602;390000;2023-04-16 00:00:00.000
