2023-05-16 00:00:00.000;1754-01-01 13:25:07.697;1;K510046;048-NEUOETTING;1x6;Microsorum Pteropus;7B72D66A-9C0D-4319-84B8-003F621AF488;DI;11530834
2023-05-16 00:00:00.000;1754-01-01 13:25:07.697;1;K550184;126-WAIBLINGEN;1x6;Microsorum Pteropus;7B72D66A-9C0D-4319-84B8-003F621AF488;DI;11530835
2023-05-16 00:00:00.000;1754-01-01 13:25:07.710;1;K550060;141-BIBERACH;1x6;Microsorum Pteropus;7B72D66A-9C0D-4319-84B8-003F621AF488;DI;11530836
2023-05-16 00:00:00.000;1754-01-01 13:25:07.710;1;K510020;022-HALLE;1x6;Microsorum Pteropus;7B72D66A-9C0D-4319-84B8-003F621AF488;DO;11530837
2023-05-16 00:00:00.000;1754-01-01 13:25:07.710;1;K510001;003-WIEN II S;1x6;Microsorum Pteropus;7B72D66A-9C0D-4319-84B8-003F621AF488;DO;11530838
2023-05-16 00:00:00.000;1754-01-01 13:25:07.727;1;K510084;090-STUTTGART;1x6;Microsorum Pteropus;7B72D66A-9C0D-4319-84B8-003F621AF488;DO;11530839
2023-05-16 00:00:00.000;1754-01-01 13:28:50.913;1;K510012;014-ROEDENTAL;1x10;Limnobium Laevigatum;A312CBDD-6896-4DC0-8163-00720ADEED61;DO;11531049
2023-05-16 00:00:00.000;1754-01-01 13:44:54.637;1;K510098;108-HAMBURG II;3x1;Glossostigma Elatinoides;39997EC7-3E93-4C12-B977-007DA5BF6DC0;DI;11532290
2023-05-16 00:00:00.000;1754-01-01 13:44:54.637;1;K510099;109-FRECHEN;2x1;Glossostigma Elatinoides;39997EC7-3E93-4C12-B977-007DA5BF6DC0;DI;11532291
2023-05-16 00:00:00.000;1754-01-01 13:44:54.637;1;K550183;130-INGOLSTADT;1x1;Glossostigma Elatinoides;39997EC7-3E93-4C12-B977-007DA5BF6DC0;DI;11532292
2023-05-16 00:00:00.000;1754-01-01 13:44:54.653;1;K510079;085-DIETZENBAC;1x1;Glossostigma Elatinoides;39997EC7-3E93-4C12-B977-007DA5BF6DC0;DO;11532293
2023-05-16 00:00:00.000;1754-01-01 13:44:54.653;1;K510041;043-AUGSB I (L);2x1;Glossostigma Elatinoides;39997EC7-3E93-4C12-B977-007DA5BF6DC0;DO;11532294
2023-05-16 00:00:00.000;1754-01-01 13:44:54.670;1;K550101;125-ERDING;2x1;Glossostigma Elatinoides;39997EC7-3E93-4C12-B977-007DA5BF6DC0;DO;11532295
2023-05-16 00:00:00.000;1754-01-01 13:44:54.670;1;K510074;078-KAISERSLAU;1x1;Glossostigma Elatinoides;39997EC7-3E93-4C12-B977-007DA5BF6DC0;DO;11532296
2023-05-16 00:00:00.000;1754-01-01 14:26:17.827;1;K510046;048-NEUOETTING;4x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DI;11533995
2023-05-16 00:00:00.000;1754-01-01 14:26:17.827;1;K510012;014-ROEDENTAL;2x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DO;11533996
2023-05-16 00:00:00.000;1754-01-01 14:26:17.843;1;K510031;033-MEERANE;1x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DO;11533997
2023-05-16 00:00:00.000;1754-01-01 14:26:17.847;1;K510034;036-SCHWEINFUR;2x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DO;11533998
2023-05-16 00:00:00.000;1754-01-01 14:26:17.847;1;K510094;103-KASSEL;1x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DO;11533999
2023-05-16 00:00:00.000;1754-01-01 14:26:17.847;1;K510102;112-KAMEN;1x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DO;11534000
2023-05-16 00:00:00.000;1754-01-01 14:26:17.860;1;K510074;078-KAISERSLAU;1x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DO;11534001
2023-05-16 00:00:00.000;1754-01-01 14:26:17.860;1;K510089;095-BAMBERG;1x6;Prunus Etna;83C9E30A-13FF-4659-A30E-00EB25BFFEFE;DO;11534002
2023-05-16 00:00:00.000;1754-01-01 14:06:05.227;1;K500021;443-VERSAND;3x6;Osteospermum Orange;FFB81DA5-4423-4E49-AB18-0171AD3827B9;DI;11533246
2023-05-16 00:00:00.000;1754-01-01 14:06:05.227;1;K500021;443-VERSAND;2x6;Osteospermum Orange;FFB81DA5-4423-4E49-AB18-0171AD3827B9;DI;11533247
2023-05-16 00:00:00.000;1754-01-01 16:53:16.257;1;K500021;443-VERSAND;3x1;Preslia cervina;EBD85DE2-52AF-4404-86BE-01725BABDA94;DI;11537554
2023-05-16 00:00:00.000;1754-01-01 16:53:16.257;1;K500021;443-VERSAND;3x1;Preslia cervina;EBD85DE2-52AF-4404-86BE-01725BABDA94;DI;11537555
2023-05-16 00:00:00.000;1754-01-01 16:53:16.270;1;K500021;443-VERSAND;3x1;Preslia cervina;EBD85DE2-52AF-4404-86BE-01725BABDA94;DI;11537556
2023-05-16 00:00:00.000;1754-01-01 14:01:43.863;1;K510014;016-EICHENZELL;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533053
2023-05-16 00:00:00.000;1754-01-01 14:01:43.863;1;K510023;025-WORMS;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533054
2023-05-16 00:00:00.000;1754-01-01 14:01:43.863;1;K510027;029-FRANKENTHA;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533055
2023-05-16 00:00:00.000;1754-01-01 14:01:43.863;1;K510051;053-DRESDEN I;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533056
2023-05-16 00:00:00.000;1754-01-01 14:01:43.883;1;K510074;078-KAISERSLAU;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533057
2023-05-16 00:00:00.000;1754-01-01 14:01:43.883;1;K510089;095-BAMBERG;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533058
2023-05-16 00:00:00.000;1754-01-01 14:01:43.883;1;K550218;113-CHEMNITZ;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533059
2023-05-16 00:00:00.000;1754-01-01 14:01:43.883;1;K550219;123-MONTABAUR;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533060
2023-05-16 00:00:00.000;1754-01-01 14:01:43.883;1;K510030;032-NEUTRAUBLI;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533061
2023-05-16 00:00:00.000;1754-01-01 14:01:43.900;1;K510061;063-BAD DUERRH;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533062
2023-05-16 00:00:00.000;1754-01-01 14:01:43.900;1;K510084;090-STUTTGART;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533063
2023-05-16 00:00:00.000;1754-01-01 14:01:43.900;1;K510097;107-HAMBURG I;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533064
2023-05-16 00:00:00.000;1754-01-01 14:01:43.900;1;K510102;112-KAMEN;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533065
2023-05-16 00:00:00.000;1754-01-01 14:01:43.900;1;K550212;122-DUESSELDOR;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533066
2023-05-16 00:00:00.000;1754-01-01 14:01:43.917;1;K510009;011-HEIDESHEIM;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533067
2023-05-16 00:00:00.000;1754-01-01 14:01:43.917;1;K510012;014-ROEDENTAL;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533068
2023-05-16 00:00:00.000;1754-01-01 14:01:43.917;1;K510020;022-HALLE;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533069
2023-05-16 00:00:00.000;1754-01-01 14:01:43.917;1;K510021;023-MAINASCHAF;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533070
2023-05-16 00:00:00.000;1754-01-01 14:01:43.930;1;K510026;028-CHEMNITZ-RO;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533071
2023-05-16 00:00:00.000;1754-01-01 14:01:43.930;1;K510031;033-MEERANE;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533072
2023-05-16 00:00:00.000;1754-01-01 14:01:43.930;1;K510034;036-SCHWEINFUR;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533073
2023-05-16 00:00:00.000;1754-01-01 14:01:43.930;1;K510037;039-TAUCHA;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533074
2023-05-16 00:00:00.000;1754-01-01 14:01:43.930;1;K510048;050-BROCKWITZ;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533075
2023-05-16 00:00:00.000;1754-01-01 14:01:43.947;1;K510055;057-OBERKOTZAU;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533076
2023-05-16 00:00:00.000;1754-01-01 14:01:43.947;1;K510058;060-MANNHEIM;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533077
2023-05-16 00:00:00.000;1754-01-01 14:01:43.947;1;K510062;064-BAD KREUZN;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533078
2023-05-16 00:00:00.000;1754-01-01 14:01:43.947;1;K510091;097-KARLSRUHE;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533079
2023-05-16 00:00:00.000;1754-01-01 14:01:43.947;1;K510094;103-KASSEL;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533080
2023-05-16 00:00:00.000;1754-01-01 14:01:43.947;1;K510100;110-DRESDEN II;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533081
2023-05-16 00:00:00.000;1754-01-01 14:01:43.963;1;K550075;116-WEITERSTADT;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533082
2023-05-16 00:00:00.000;1754-01-01 14:01:43.963;1;K550120;128-KARLSBAD;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533083
2023-05-16 00:00:00.000;1754-01-01 14:01:43.963;1;K550220;136-BOUS;1x6;MUSA VELUTINA T12;BEE96818-F7E5-4B26-AAD0-018CC6ED2AC5;DO;11533084
2023-05-16 00:00:00.000;1754-01-01 07:36:22.540;1;K510049;051-MEMMINGEN;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DI;11519663
2023-05-16 00:00:00.000;1754-01-01 07:36:22.540;1;K510056;058-WEIL;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DI;11519664
2023-05-16 00:00:00.000;1754-01-01 07:36:22.540;1;K510070;073-MUENCH. III;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DI;11519665
2023-05-16 00:00:00.000;1754-01-01 07:36:22.557;1;K510076;082-RAIN (BLUM;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DI;11519666
2023-05-16 00:00:00.000;1754-01-01 07:36:22.557;1;K510092;098-RAVENSBURG;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DI;11519667
2023-05-16 00:00:00.000;1754-01-01 07:36:22.557;1;K510098;108-HAMBURG II;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DI;11519668
2023-05-16 00:00:00.000;1754-01-01 07:36:22.557;1;K510104;117-KIEL;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DI;11519669
2023-05-16 00:00:00.000;1754-01-01 07:36:22.570;1;K510026;028-CHEMNITZ-RO;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519670
2023-05-16 00:00:00.000;1754-01-01 07:36:22.570;1;K510033;035-SAARBRUECK;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519671
2023-05-16 00:00:00.000;1754-01-01 07:36:22.570;1;K510034;036-SCHWEINFUR;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519672
2023-05-16 00:00:00.000;1754-01-01 07:36:22.570;1;K510040;042-HOFHEIM;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519673
2023-05-16 00:00:00.000;1754-01-01 07:36:22.587;1;K510090;096-SPEYER;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519674
2023-05-16 00:00:00.000;1754-01-01 07:36:22.587;1;K510091;097-KARLSRUHE;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519675
2023-05-16 00:00:00.000;1754-01-01 07:36:22.587;1;K510100;110-DRESDEN II;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519676
2023-05-16 00:00:00.000;1754-01-01 07:36:22.587;1;K550075;116-WEITERSTADT;2x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519677
2023-05-16 00:00:00.000;1754-01-01 07:36:22.587;1;K550173;131-HALLE-PEISS;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519678
2023-05-16 00:00:00.000;1754-01-01 07:36:22.603;1;K510008;010-PASCHING-LI;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519679
2023-05-16 00:00:00.000;1754-01-01 07:36:22.603;1;K510035;037-SCHWAEBISC;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519680
2023-05-16 00:00:00.000;1754-01-01 07:36:22.603;1;K510083;089-MUENCH. II;3x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519681
2023-05-16 00:00:00.000;1754-01-01 07:36:22.603;1;K510101;111-LANGENFELD;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519682
2023-05-16 00:00:00.000;1754-01-01 07:36:22.617;1;K510074;078-KAISERSLAU;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519683
2023-05-16 00:00:00.000;1754-01-01 07:36:22.617;1;K510089;095-BAMBERG;1x6;Lysimachia nummularia;A8913134-7939-4337-84B8-01D8B496675F;DO;11519684
2023-05-16 00:00:00.000;1754-01-01 09:02:16.000;1;K510002;004-VOELS-CYTA;1x4;PHALA. MIR MIRACLE TIANA BOGEN OPTI;8090E0E2-12A9-42EB-BA00-01E90DFB0D52;DI;11522176
