timestamp;Verzendnummer;Bestemmings code;Verdeel code;Aantal op stikker;Source;Source Subtype;Source ID;Source Ref_ No_;Box activiteit entry;Dehner Order Entry;Dehner Order Regel Entry Rgl;Dehner Order Verdeel Entry Rgl;Voorbouw Inkooporder nummer;Voorbouw Klantnummer;Voorbouw KarId
0x000000002B2EABFF;45660;00398174880015344144990440;3054014510009944000700001000001000010001;10.00000000000000000000;37;1;KO23-07633;990000;11797962;141667;990000;2210000;;;0
0x000000002B2EABF5;45660;00398174880015344144990440;3054014510012744000700000600000600010001;6.00000000000000000000;37;1;KO23-07633;1270000;11799664;141667;1270000;2700000;;;0
0x000000002B2EAC04;45660;00398174880015344144990440;3054014510012844000700001000001000010001;10.00000000000000000000;37;1;KO23-07633;1280000;11799451;141667;1280000;2720000;;;0
0x000000002B2EAC12;45660;00398174880015344144990440;3054014510013744000700000600000600010001;6.00000000000000000000;37;1;KO23-07633;1370000;11800408;141667;1370000;2920000;;;0
0x000000002B2EAC06;45660;00398174880015344144990440;3054014510013844000700000400000400010001;4.00000000000000000000;37;1;KO23-07633;1380000;11799783;141667;1380000;2950000;;;0
0x000000002B2EAC02;45660;00398174880015344144990440;3054014510014444000700000200000200010001;2.00000000000000000000;37;1;KO23-07633;1440000;11797760;141667;1440000;3060000;;;0
0x000000002B2EAC10;45660;00398174880015344144990440;3054014510014744000700000600000600010001;6.00000000000000000000;37;1;KO23-07633;1470000;11800923;141667;1470000;3180000;;;0
0x000000002B2EAC16;45660;00398174880015344144990440;3054014520000944000700001000001000010001;10.00000000000000000000;37;1;KO23-07632;90000;11798049;141668;90000;100000;;;0
0x000000002B2EABFD;45660;00398174880015344144990440;3054014520001044000700001000001000010001;10.00000000000000000000;37;1;KO23-07632;100000;11797980;141668;100000;110000;;;0
0x000000002B2EAC08;45660;00398174880015344144990440;3054014520001344000700000600000600010001;6.00000000000000000000;37;1;KO23-07632;130000;11798825;141668;130000;190000;;;0
0x000000002B2EAC14;45660;00398174880015344144990440;3054014520001544000700000800000800010001;8.00000000000000000000;37;1;KO23-07632;150000;11799643;141668;150000;220000;;;0
0x000000002B2EABFB;45660;00398174880015344144990440;3054014520003644000700000600000600010001;6.00000000000000000000;37;1;KO23-07632;360000;11797928;141668;360000;570000;;;0
0x000000002B2EAC0A;45660;00398174880015344144990440;3054014520005044000700000600000600010001;6.00000000000000000000;37;1;KO23-07632;500000;11800980;141668;500000;740000;;;0
0x000000002B2EAC0C;45660;00398174880015344144990440;3054014520005344000700000300000300010001;3.00000000000000000000;37;1;KO23-07632;530000;11799678;141668;530000;780000;;;0
0x000000002B2EABF9;45660;00398174880015344144990440;3054014520005444000700000600000600010001;6.00000000000000000000;37;1;KO23-07632;540000;11798674;141668;540000;800000;;;0
0x000000002B2EAC0E;45660;00398174880015344144990440;3054014520006444000700001000001000010001;10.00000000000000000000;37;1;KO23-07632;640000;11797947;141668;640000;980000;;;0
0x000000002B2EACA6;45660;00398174880015344144990440;3054031130000244000700000800000800010001;8.00000000000000000000;37;1;KO23-07673;20000;11806207;141703;20000;40000;;;0
0x000000002B2EAC9A;45660;00398174880015344144990440;3054031130001044000700001200001200010001;12.00000000000000000000;37;1;KO23-07673;100000;11802744;141703;100000;230000;;;0
0x000000002B2EACA8;45660;00398174880015344144990440;3054031130001944000700001800001800010001;18.00000000000000000000;37;1;KO23-07673;190000;11806136;141703;190000;410000;;;0
0x000000002B2EACAA;45660;00398174880015344144990440;3054031130002044000700000800000800010001;8.00000000000000000000;37;1;KO23-07673;200000;11806163;141703;200000;420000;;;0
0x000000002B2EAC9E;45660;00398174880015344144990440;3054041060002344000700001200001200010001;12.00000000000000000000;37;1;KO23-07694;230000;11802366;141721;230000;770000;;;0
0x000000002B2EAC96;45660;00398174880015344144990440;3054041060002844000700001200001200010001;12.00000000000000000000;37;1;KO23-07694;280000;11801966;141721;280000;890000;;;0
0x000000002B2EACA0;45660;00398174880015344144990440;3054041060004744000700001200001200010001;12.00000000000000000000;37;1;KO23-07694;470000;11802179;141721;470000;1760000;;;0
0x000000002B2EACA2;45660;00398174880015344144990440;3054041060005144000700001200001200010001;12.00000000000000000000;37;1;KO23-07694;510000;11802279;141721;510000;1850000;;;0
0x000000002B2EAC9C;45660;00398174880015344144990440;3054041060005244000700002400002400010001;24.00000000000000000000;37;1;KO23-07694;520000;11802318;141721;520000;1880000;;;0
0x000000002B2EACAC;45660;00398174880015344144990440;3054041060005444000700002400002400010001;24.00000000000000000000;37;1;KO23-07694;540000;11802113;141721;540000;1960000;;;0
0x000000002B2EACAE;45660;00398174880015344144990440;3054042680000344000700001000001000010001;10.00000000000000000000;37;1;KO23-07719;30000;11802196;141741;30000;40000;;;0
0x000000002B2EADA0;45660;00398174880015344144990440;3054042680001944000700000200000200010001;2.00000000000000000000;37;1;KO23-07719;190000;11804399;141741;190000;330000;;;0
0x000000002B2EADA2;45660;00398174880015344144990440;3054042680002044000700000200000200010001;2.00000000000000000000;37;1;KO23-07719;200000;11804498;141741;200000;360000;;;0
0x000000002B2EACB2;45660;00398174880015344144990440;3054042680003344000700000100000100010001;1.00000000000000000000;37;1;KO23-07719;330000;11804108;141741;330000;600000;;;0
0x000000002B2EADA4;45660;00398174880015344144990440;3054042680004744000700000200000200010001;2.00000000000000000000;37;1;KO23-07719;470000;11802751;141741;470000;770000;;;0
0x000000002B2EACB0;45660;00398174880015344144990440;3054042680004844000700000200000200010001;2.00000000000000000000;37;1;KO23-07719;480000;11802542;141741;480000;790000;;;0
0x000000002B2EACB4;45660;00398174880015344144990440;3054042680004944000700000100000100010001;1.00000000000000000000;37;1;KO23-07719;490000;11802826;141741;490000;810000;;;0
0x000000002B2EACA4;45660;00398174880015344144990440;3054042680006144000700000200000200010001;2.00000000000000000000;37;1;KO23-07719;610000;11804843;141741;610000;1360000;;;0
0x000000002B2EABA1;45660;00398174880015344168990440;3054014510000244000700000200000200010001;2.00000000000000000000;37;1;KO23-07633;20000;11800346;141667;20000;20000;;;0
0x000000002B2EAB9D;45660;00398174880015344168990440;3054014510000344000700000300000300010001;3.00000000000000000000;37;1;KO23-07633;30000;11800240;141667;30000;40000;;;0
0x000000002B2EABA7;45660;00398174880015344168990440;3054014510001344000700000300000300010001;3.00000000000000000000;37;1;KO23-07633;130000;11801059;141667;130000;330000;;;0
0x000000002B2EAB9F;45660;00398174880015344168990440;3054014510004244000700000600000600010001;6.00000000000000000000;37;1;KO23-07633;420000;11799284;141667;420000;940000;;;0
0x000000002B2EAB9B;45660;00398174880015344168990440;3054014510005044000700000100000100010001;1.00000000000000000000;37;1;KO23-07633;500000;11800220;141667;500000;1080000;;;0
0x000000002B2EABAB;45660;00398174880015344168990440;3054014510009144000700000100000100010001;1.00000000000000000000;37;1;KO23-07633;910000;11799356;141667;910000;2020000;;;0
0x000000002B2EABA5;45660;00398174880015344168990440;3054014510009644000700000100000100010001;1.00000000000000000000;37;1;KO23-07633;960000;11799621;141667;960000;2130000;;;0
0x000000002B2EABA9;45660;00398174880015344168990440;3054014510015044000700000200000200010001;2.00000000000000000000;37;1;KO23-07633;1500000;11800904;141667;1500000;3260000;;;0
0x000000002B2EABA3;45660;00398174880015344168990440;3054014520005144000700000600000600010001;6.00000000000000000000;37;1;KO23-07632;510000;11800082;141668;510000;750000;;;0
0x000000002B2EABAD;45660;00398174880015344168990440;3054036660003744000700000400000400010001;4.00000000000000000000;37;1;KO23-07678;370000;11804033;141709;370000;1560000;;;0
0x000000002B2EABAF;45660;00398174880015344168990440;3054041840000544000700000800000800010001;8.00000000000000000000;37;1;KO23-07711;50000;11803084;141734;50000;70000;;;0
0x000000002B2EADB1;45660;00398174880015344175990440;3054014510000344000800000100000100010001;1.00000000000000000000;37;1;KO23-07633;30000;11800241;141667;30000;50000;;;0
0x000000002B2EADB3;45660;00398174880015344175990440;3054014510000444000800000100000100010001;1.00000000000000000000;37;1;KO23-07633;40000;11800258;141667;40000;80000;;;0
0x000000002B2EADAF;45660;00398174880015344175990440;3054014510001844000800000100000100010001;1.00000000000000000000;37;1;KO23-07633;180000;11799243;141667;180000;410000;;;0
0x000000002B2EADA7;45660;00398174880015344175990440;3054014510005044000800000100000100010001;1.00000000000000000000;37;1;KO23-07633;500000;11800221;141667;500000;1090000;;;0
0x000000002B2EADA9;45660;00398174880015344175990440;3054014520006644000800000100000100010001;1.00000000000000000000;37;1;KO23-07632;660000;11800295;141668;660000;1000000;;;0
0x000000002B2EAE67;45660;00398174880015344175990440;3054030760001344000800000200000200010001;2.00000000000000000000;37;1;KO23-07668;130000;11802645;141698;130000;530000;;;0
0x000000002B2EAE63;45660;00398174880015344175990440;3054036660001244000800000200000200010001;2.00000000000000000000;37;1;KO23-07678;120000;11808095;141709;120000;450000;;;0
0x000000002B2EAE5D;45660;00398174880015344175990440;3054036660003044000800000500000500010001;5.00000000000000000000;37;1;KO23-07678;300000;11804348;141709;300000;1320000;;;0
0x000000002B2EADAD;45660;00398174880015344175990440;3054036660004244000800000400000400010001;4.00000000000000000000;37;1;KO23-07678;420000;11805226;141709;420000;1690000;;;0
0x000000002B2EAE61;45660;00398174880015344175990440;3054041060001844000800000400000400010001;4.00000000000000000000;37;1;KO23-07694;180000;11805842;141721;180000;690000;;;0
0x000000002B2EAE65;45660;00398174880015344175990440;3054041060001944000800000400000400010001;4.00000000000000000000;37;1;KO23-07694;190000;11805795;141721;190000;700000;;;0
0x000000002B2EADAB;45660;00398174880015344175990440;3054041060004144000800000200000200010001;2.00000000000000000000;37;1;KO23-07694;410000;11805338;141721;410000;1550000;;;0
0x000000002B2EAE5F;45660;00398174880015344175990440;3054041530002144000800000300000300010001;3.00000000000000000000;37;1;KO23-07705;210000;11807936;141728;210000;780000;;;0
0x000000002B2EAE69;45660;00398174880015344175990440;3054041530002244000800000300000300010001;3.00000000000000000000;37;1;KO23-07705;220000;11807853;141728;220000;800000;;;0
0x000000002B2EAE5B;45660;00398174880015344175990440;3054042680006544000800000200000200010001;2.00000000000000000000;37;1;KO23-07719;650000;11805870;141741;650000;1410000;;;0
0x000000002B2EAA68;45660;00398174880015344830990440;3054014510002944000800000100000100010001;1.00000000000000000000;37;1;KO23-07633;290000;11800585;141667;290000;620000;;;0
0x000000002B2EAA59;45660;00398174880015344830990440;3054014510003944000800000400000400010001;4.00000000000000000000;37;1;KO23-07633;390000;11800172;141667;390000;890000;;;0
0x000000002B2EAA5B;45660;00398174880015344830990440;3054014510006244000800000100000100010001;1.00000000000000000000;37;1;KO23-07633;620000;11798567;141667;620000;1530000;;;0
0x000000002B2EAA66;45660;00398174880015344830990440;3054014510007844000800000600000600010001;6.00000000000000000000;37;1;KO23-07633;780000;11800802;141667;780000;1820000;;;0
0x000000002B2EAA6B;45660;00398174880015344830990440;3054014510011944000800000400000400010001;4.00000000000000000000;37;1;KO23-07633;1190000;11798519;141667;1190000;2550000;;;0
0x000000002B2EAAB3;45660;00398174880015344830990440;3054023680000144000800000300000300010001;3.00000000000000000000;37;1;KO23-07663;10000;11801241;141692;10000;10000;;;0
0x000000002B2EAAB5;45660;00398174880015344830990440;3054031130001844000800000200000200010001;2.00000000000000000000;37;1;KO23-07673;180000;11802925;141703;180000;380000;;;0
0x000000002B2EAAC1;45660;00398174880015344830990440;3054041060002344000800002400002400010001;24.00000000000000000000;37;1;KO23-07694;230000;11802367;141721;230000;780000;;;0
0x000000002B2EAAB7;45660;00398174880015344830990440;3054041060002844000800002400002400010001;24.00000000000000000000;37;1;KO23-07694;280000;11801967;141721;280000;900000;;;0
0x000000002B2EAB0B;45660;00398174880015344830990440;3054041060004744000800001200001200010001;12.00000000000000000000;37;1;KO23-07694;470000;11802180;141721;470000;1770000;;;0
0x000000002B2EAAFD;45660;00398174880015344830990440;3054041060005144000800003600003600010001;36.00000000000000000000;37;1;KO23-07694;510000;11802280;141721;510000;1860000;;;0
0x000000002B2EAA5D;45660;00398174880015344830990440;3054041060005244000800004800004800010001;48.00000000000000000000;37;1;KO23-07694;520000;11802319;141721;520000;1890000;;;0
0x000000002B2EAABF;45660;00398174880015344830990440;3054041530000944000800000600000600010001;6.00000000000000000000;37;1;KO23-07705;90000;11803022;141728;90000;230000;;;0
0x000000002B2EAAA6;45660;00398174880015344830990440;3054041840000144000800000800000800010001;8.00000000000000000000;37;1;KO23-07711;10000;11803036;141734;10000;20000;;;0
0x000000002B2EAAA9;45660;00398174880015344830990440;3054041840000244000800000800000800010001;8.00000000000000000000;37;1;KO23-07711;20000;11802989;141734;20000;30000;;;0
0x000000002B2EAAC3;45660;00398174880015344830990440;3054041840000644000800000800000800010001;8.00000000000000000000;37;1;KO23-07711;60000;11802983;141734;60000;80000;;;0
0x000000002B2EAAC5;45660;00398174880015344830990440;3054041840000844000800000700000700010001;7.00000000000000000000;37;1;KO23-07711;80000;11803498;141734;80000;130000;;;0
0x000000002B2EAABB;45660;00398174880015344830990440;3054041840001244000800001600001600010001;16.00000000000000000000;37;1;KO23-07711;120000;11802995;141734;120000;190000;;;0
0x000000002B2EAAFB;45660;00398174880015344830990440;3054041840001344000800000700000700010001;7.00000000000000000000;37;1;KO23-07711;130000;11803344;141734;130000;200000;;;0
0x000000002B2EAAB9;45660;00398174880015344830990440;3054041840001544000800000800000800010001;8.00000000000000000000;37;1;KO23-07711;150000;11802984;141734;150000;220000;;;0
0x000000002B2EAAC7;45660;00398174880015344830990440;3054042680010544000800000300000300010001;3.00000000000000000000;37;1;KO23-07719;1050000;11804908;141741;1050000;2020000;;;0
0x000000002B2EAABD;45660;00398174880015344830990440;3054043570000144000800000400000400010001;4.00000000000000000000;37;1;KO23-07736;10000;11803219;141753;10000;10000;;;0
0x000000002B2EB037;45660;00398174880015344885990440;3054014530010144001100000600000600010001;6.00000000000000000000;37;1;KO23-07631;1010000;11797897;141669;1010000;4270000;;;0
0x000000002B2EB039;45660;00398174880015344885990440;3054014530010544001100000600000600010001;6.00000000000000000000;37;1;KO23-07631;1050000;11800821;141669;1050000;4370000;;;0
0x000000002B2EB03F;45660;00398174880015344885990440;3054014530012744001100001000001000010001;10.00000000000000000000;37;1;KO23-07631;1270000;11797935;141669;1270000;5140000;;;0
0x000000002B2EB03D;45660;00398174880015344885990440;3054014540002444001100000200000200010001;2.00000000000000000000;37;1;KO23-07630;240000;11797735;141670;240000;1090000;;;0
0x000000002B2EB041;45660;00398174880015344885990440;3054014540006644001100000600000600010001;6.00000000000000000000;37;1;KO23-07630;660000;11799908;141670;660000;2740000;;;0
0x000000002B2EB045;45660;00398174880015344885990440;3054014540011944001100000300000300010001;3.00000000000000000000;37;1;KO23-07630;1190000;11799592;141670;1190000;4880000;;;0
0x000000002B2EB03B;45660;00398174880015344885990440;3054014540013944001100000200000200010001;2.00000000000000000000;37;1;KO23-07630;1390000;11800677;141670;1390000;5680000;;;0
0x000000002B2EB055;45660;00398174880015344885990440;3054031140000944001100000800000800010001;8.00000000000000000000;37;1;KO23-07674;90000;11805069;141704;90000;750000;;;0
0x000000002B2EB049;45660;00398174880015344885990440;3054031140002244001100000200000200010001;2.00000000000000000000;37;1;KO23-07674;220000;11802939;141704;220000;1350000;;;0
0x000000002B2EB061;45660;00398174880015344885990440;3054031140002544001100000800000800010001;8.00000000000000000000;37;1;KO23-07674;250000;11806166;141704;250000;1540000;;;0
0x000000002B2EB063;45660;00398174880015344885990440;3054031140003644001100000200000200010001;2.00000000000000000000;37;1;KO23-07674;360000;11806484;141704;360000;2400000;;;0
0x000000002B2EB05B;45660;00398174880015344885990440;3054036670002444001100000200000200010001;2.00000000000000000000;37;1;KO23-07679;240000;11805483;141710;240000;3440000;;;0
